               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.015606,            0.008439,                   0,             0.64988,             0.28125,             0.33484,             0.18539,            0.048713,            0.013066,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.018129,           0.0085114,                   0,             0.63698,                0.25,             0.28531,             0.15191,            0.051017,            0.013562,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.016727,           0.0074634,                   0,             0.48681,             0.29684,             0.30797,             0.14963,            0.050006,            0.013531,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.014086,           0.0083472,                   0,             0.46751,             0.21875,             0.25635,             0.13047,            0.051211,            0.013869,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.015195,           0.0083498,                   0,             0.62701,              0.1875,              0.2146,             0.10864,            0.052916,            0.014216,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.016215,           0.0078957,                   0,             0.53579,              0.1875,             0.19662,            0.096837,            0.053226,             0.01443,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.016908,           0.0081961,                   0,             0.57681,             0.21337,             0.21811,             0.11095,            0.051813,            0.014367,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.014792,           0.0076486,                   0,             0.53238,             0.17851,             0.18793,            0.084498,            0.053873,            0.014617,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.013367,           0.0073481,                   0,             0.43114,              0.1875,              0.1788,             0.08202,            0.053457,            0.014738,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.013419,            0.007651,                   0,             0.57986,             0.21588,             0.20465,            0.097699,            0.052973,            0.014424,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.012952,           0.0075007,                   0,             0.45058,                0.25,             0.19227,              0.1081,            0.053271,             0.01466,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.012869,           0.0071708,                   0,             0.43848,                0.25,             0.22187,               0.126,            0.051793,            0.014306,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.013757,           0.0076845,                   0,              0.4535,             0.21875,             0.19579,            0.097781,            0.053533,            0.014445,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.012397,           0.0073553,                   0,             0.32335,              0.1875,             0.16704,            0.088186,            0.053739,            0.014769,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.013008,           0.0075308,                   0,             0.39334,             0.15625,             0.16968,             0.10133,            0.053079,            0.014829,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.013933,           0.0077383,                   0,             0.34603,              0.1875,             0.18807,             0.11349,            0.052581,            0.014603,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.013246,           0.0081712,                   0,             0.36528,             0.21875,             0.18649,             0.11955,            0.052697,            0.014563,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.012895,           0.0077577,                   0,             0.54721,                0.25,             0.24889,             0.14033,            0.050019,            0.014206,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.013102,           0.0066245,                   0,             0.42121,                0.25,             0.21365,              0.1334,            0.051082,            0.014514,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.012386,           0.0075673,                   0,             0.37674,             0.21875,             0.24569,             0.14473,            0.050139,             0.01421,                   0,            0.000595,            0.000595,            0.000595
                  59,              0.0132,           0.0082536,                   0,             0.43337,             0.21875,             0.21237,             0.12779,            0.051683,            0.014377,                   0,             0.00043,             0.00043,             0.00043
