               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.018867,            0.008899,                   0,             0.41975,             0.21212,             0.17423,            0.058041,            0.089096,            0.014176,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.017022,           0.0080969,                   0,             0.36476,             0.15152,             0.13659,            0.046718,            0.089631,            0.014223,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.016361,           0.0080629,                   0,             0.30648,             0.15152,              0.1488,            0.059147,            0.089818,            0.014589,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.017835,           0.0092358,                   0,             0.24069,             0.15152,             0.12525,            0.037436,            0.090379,            0.014845,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.019233,           0.0082598,                   0,             0.22733,             0.15152,             0.12121,            0.042071,            0.090466,            0.015083,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.018693,            0.010153,                   0,             0.34475,             0.15152,             0.13446,            0.048843,            0.089571,            0.015164,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.018006,           0.0086337,                   0,             0.33335,             0.15152,             0.13209,            0.046695,            0.090531,            0.014933,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.018366,           0.0091762,                   0,             0.37397,             0.16341,             0.15089,            0.053398,            0.090328,            0.014904,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.014782,           0.0085034,                   0,             0.38329,             0.15152,             0.15432,            0.062232,            0.089958,             0.01507,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.017519,           0.0087508,                   0,             0.34264,             0.15152,             0.13347,            0.047405,            0.090356,               0.015,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.017269,           0.0089787,                   0,             0.33148,             0.12121,              0.1132,            0.045235,            0.090526,            0.015063,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.016438,           0.0081447,                   0,             0.41259,             0.18182,             0.13743,            0.046014,            0.091218,            0.014863,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.015702,           0.0084409,                   0,             0.32783,             0.15152,            0.073717,            0.034964,            0.091131,            0.014893,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.014515,           0.0084351,                   0,             0.26715,             0.15152,            0.070774,            0.034152,            0.090806,             0.01493,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.017794,           0.0087367,                   0,             0.34621,             0.15152,             0.10307,            0.056466,            0.089571,            0.014658,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.015602,           0.0091455,                   0,             0.33488,             0.15152,             0.10355,            0.059049,            0.089119,            0.014818,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.018059,           0.0087058,                   0,             0.30769,             0.15152,             0.15701,             0.06365,            0.089421,            0.014927,                   0,             0.00109,             0.00109,             0.00109
                  56,             0.01657,           0.0083467,                   0,             0.34611,             0.15152,              0.1585,            0.064208,            0.089573,            0.014781,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.015445,           0.0091931,                   0,             0.31759,             0.15152,             0.14236,            0.056159,            0.089607,            0.015121,                   0,             0.00076,             0.00076,             0.00076
                  58,             0.01792,           0.0081881,                   0,             0.22536,             0.15152,            0.075597,            0.042066,            0.090286,            0.014982,                   0,            0.000595,            0.000595,            0.000595
                  59,             0.01572,           0.0085177,                   0,             0.30167,             0.15735,             0.10315,            0.054983,            0.088956,            0.014852,                   0,             0.00043,             0.00043,             0.00043
