               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.017652,           0.0077689,                   0,             0.28233,             0.18182,             0.16087,            0.081644,            0.083159,            0.014186,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.018703,           0.0093581,                   0,             0.27347,             0.20553,             0.12269,            0.074177,            0.082345,            0.013929,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.019132,           0.0088249,                   0,             0.38089,             0.21212,               0.158,            0.093801,            0.080509,            0.013884,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.018357,            0.008248,                   0,             0.28414,             0.21212,             0.11547,            0.087682,            0.080206,            0.014087,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.017243,           0.0085159,                   0,             0.37445,             0.27273,             0.18772,            0.085836,            0.080622,            0.014005,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.016408,           0.0082933,                   0,              0.3089,             0.24242,             0.13228,            0.069841,            0.081499,            0.013847,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.016301,            0.007772,                   0,             0.28889,             0.21212,             0.11271,            0.068757,            0.082056,            0.013975,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.015768,           0.0078569,                   0,             0.25003,             0.18182,             0.10647,            0.062391,            0.081604,            0.014151,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.016977,           0.0077338,                   0,             0.23934,             0.18182,            0.099533,            0.056821,              0.0825,             0.01409,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.014399,           0.0076581,                   0,             0.35217,             0.23096,              0.1454,            0.085833,            0.079236,            0.014164,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.014605,           0.0079787,                   0,             0.26522,             0.18182,             0.12923,            0.066323,            0.081806,            0.014095,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.016204,           0.0091262,                   0,             0.29187,             0.21212,             0.13447,            0.073894,            0.082003,            0.013823,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.013152,           0.0084759,                   0,             0.35178,             0.21212,             0.15741,            0.084973,            0.081048,            0.013909,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.013038,           0.0077225,                   0,             0.33677,             0.27273,             0.16607,             0.08918,            0.080983,            0.013855,                   0,            0.001585,            0.001585,            0.001585
                  53,            0.014918,           0.0076362,                   0,             0.34804,             0.24242,             0.14815,            0.084952,            0.081161,            0.013762,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.012929,           0.0078677,                   0,              0.4108,             0.27273,             0.17796,            0.095684,            0.080314,             0.01393,                   0,            0.001255,            0.001255,            0.001255
                  55,             0.01297,             0.00842,                   0,              0.3673,             0.24242,             0.14965,            0.086891,            0.081102,            0.014025,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.013194,           0.0077462,                   0,             0.28266,             0.21212,             0.13534,            0.074375,            0.081917,            0.014045,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.012095,           0.0073212,                   0,             0.35392,             0.24242,             0.16132,            0.087096,             0.08103,            0.013939,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.012914,           0.0072035,                   0,             0.29893,             0.21212,             0.12253,            0.063035,            0.081112,            0.014246,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.012351,           0.0077563,                   0,             0.36709,             0.24242,             0.16437,            0.089747,            0.079841,            0.014066,                   0,             0.00043,             0.00043,             0.00043
