               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078092,            0.031729,                   0,                   0,                   0,                   0,                   0,                   0,            0.020311,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.065767,            0.030574,                   0,                   0,                   0,                   0,                   0,                   0,            0.014512,                   0,            0.040367,           0.0065046,           0.0065046
                   2,            0.061449,            0.025777,                   0,                   0,                   0,                   0,                   0,                   0,            0.012439,                   0,            0.010148,           0.0096188,           0.0096188
                   3,            0.060329,            0.021072,                   0,                   0,                   0,                   0,                   0,                   0,            0.013001,                   0,            0.009505,            0.009505,            0.009505
                   4,            0.057242,            0.021003,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078323,                   0,            0.009505,            0.009505,            0.009505
                   5,            0.048928,            0.019243,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054866,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.046876,            0.019701,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046487,                   0,            0.009175,            0.009175,            0.009175
